必胜客	西餐	76	3.5	1441	6.9	7.1	6.5	淞沪路77号B-13	2002/9/9
VQ鲜榨果汁	面包甜点	19	4.5	181	8.7	8.7	8.8	淞沪路77号五角场万达广场地下一层147号	2002/9/10
蜀意阁	川菜	34	3	23	6.4	6.1	6.2	国权路复旦生活街	2002/9/11
老关东土菜馆	东北菜	59	2	38	5.6	5.7	5.7	国定东路19号	2002/9/12
味千拉面	日本菜	45	5	857	9.3	9.3	9.3	"国定路315,319,321,333号F102"	2002/9/13
香吧岛大龙虾	火锅	80	4	108	8.2	7.7	7.9	吉浦路516号	2002/9/14
骏莱海鲜鱼港	本帮江浙菜	164	3.5	925	7.4	7.8	7	国定东路259号	2002/9/15
北纬25度精品咖啡	咖啡厅	43	5	270	9.1	9.1	9.2	国权路198号	2002/9/16
重庆鸡公煲	川菜	25	3.5	19	7	6.5	6.7	吉浦路521号乐购大卖场旁	2002/9/17
辣肉面大王	小吃快餐	16	3.5	32	7.2	7.4	7.3	政通路132-6	2002/9/18
福满楼酒家	东北菜	37	3.5	118	7.1	6.7	7	政民路516号	2002/9/19
卡梅尔自助烤肉	自助餐	60	4.5	2440	8.5	8.2	8.5	国济路28号2楼美食广场	2002/9/20
金龙川香阁	川菜	35	3.5	11	7.1	7.2	7.2	国定路23号	2002/9/21
1点点	面包甜点	12	4	560	8.3	7.9	8.3	国济路20-5号	2002/9/22
鸡动人心	小吃快餐	16	3.5	16	7.2	6.8	7.2	国定路346号	2002/9/23
